target_observation_id,source_id,laboratory_anchor,source_license,canonical_accession,measurement_batch_id,biological_unit_id,source_asset_id,source_worksheet,source_row,source_coordinate,source_identifier,source_sample,condition_label,technical_replicate_id,author_quantity_type,author_numeric_value,author_value_state,rank_target_eligible,common_target_member,source_local_rank_percentile,source_batch_positive_count,cross_source_scale_use
T249_EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS_000001,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO10,,blood_proteomics_xlsx,sGO 0h v 6h,74,N74,VTNC_HUMAN;J7HH10_HUMAN;B7Z553_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.023305917990690969,POSITIVE_FINITE,true,true,0.88888888888888884,19,PROHIBITED
T249_EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS_000002,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P05556,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO10,,blood_proteomics_xlsx,sGO 0h v 6h,226,N226,ITB1_HUMAN;C9JPK5_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0027591981916573159,POSITIVE_FINITE,true,true,0.33333333333333331,19,PROHIBITED
T249_EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS_000003,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P06396,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO10,,blood_proteomics_xlsx,sGO 0h v 6h,514,N514,GELS_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0028905136872245055,POSITIVE_FINITE,true,true,0.3888888888888889,19,PROHIBITED
T249_EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS_000004,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO10,,blood_proteomics_xlsx,sGO 0h v 6h,169,N169,MOES_HUMAN;Q6PJT4_HUMAN;EZRI_HUMAN;B7Z4C7_HUMAN;B7Z5V2_HUMAN;B7Z2S7_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0058109969386775234,POSITIVE_FINITE,true,true,0.66666666666666663,19,PROHIBITED
T249_EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS_000005,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P60174,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO10,,blood_proteomics_xlsx,sGO 0h v 6h,140,N140,TPIS_HUMAN;Q2QD09_HUMAN;U3KPZ0_HUMAN;U3KPS5_HUMAN,,,,NORMALIZED_ABUNDANCE,1.1645982741685448e-05,POSITIVE_FINITE,true,true,0,19,PROHIBITED
T249_EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS_000006,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,Q9HDC9,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO10,,blood_proteomics_xlsx,sGO 0h v 6h,413,N413,APMAP_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0002517883337482078,POSITIVE_FINITE,true,true,0.1111111111111111,19,PROHIBITED
T249_EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS_000007,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P04004,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO103,,blood_proteomics_xlsx,sGO 0h v 6h,74,W74,VTNC_HUMAN;J7HH10_HUMAN;B7Z553_HUMAN;H0YJW9_HUMAN,,,,NORMALIZED_ABUNDANCE,0.013614503542216515,POSITIVE_FINITE,true,true,0.94444444444444442,19,PROHIBITED
T249_EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS_000008,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P05556,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO103,,blood_proteomics_xlsx,sGO 0h v 6h,226,W226,ITB1_HUMAN;C9JPK5_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0013122207245298233,POSITIVE_FINITE,true,true,0.3888888888888889,19,PROHIBITED
T249_EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS_000009,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P06396,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO103,,blood_proteomics_xlsx,sGO 0h v 6h,514,W514,GELS_HUMAN,,,,NORMALIZED_ABUNDANCE,0.0018513732270493165,POSITIVE_FINITE,true,true,0.5,19,PROHIBITED
T249_EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS_000010,EDINBURGH_DS7545_HUMAN_PLASMA_NANOOMICS,University of Edinburgh-led controlled human exposure study,CC-BY-4.0,P26038,R4_EDINBURGH_SGO_20210324_6pm_KostarelosK_OkweloguE_EO103,,blood_proteomics_xlsx,sGO 0h v 6h,169,W169,MOES_HUMAN;Q6PJT4_HUMAN;EZRI_HUMAN;B7Z4C7_HUMAN;B7Z5V2_HUMAN;B7Z2S7_HUMAN;Q9UJZ7_HUMAN;Q9UJZ8_HUMAN;V9GZ54_HUMAN;E9PNV3_HUMAN,,,,NORMALIZED_ABUNDANCE,0.00323730338613802,POSITIVE_FINITE,true,true,0.72222222222222221,19,PROHIBITED
